date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:34:10	22116/22116	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Apr%202018%2011:58:54%20GMT	https://preview.colorlib.com/theme/charity2/	/home/emmanuel/desktop/projects/cloned_websites/sure%20help/preview.colorlib.com/theme/charity2/index.html	(from )
10:34:10	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
10:34:11	570/570	---MC-	200	added ('OK')	text/css	date:Sun,%2016%20Apr%202023%2009:34:10%20GMT	https://fonts.googleapis.com/css?family=Roboto:300,400%7CSource+Sans+Pro:700	/home/emmanuel/desktop/projects/cloned_websites/sure%20help/fonts.googleapis.com/csse965.css	(from https://preview.colorlib.com/theme/charity2/)
10:34:11	24626/24626	---MCZ	200	added ('OK')	text/css	etag:W/%226032-5c1f9af55589a-gzip%22	https://preview.colorlib.com/theme/charity2/css/bootstrap.min.css	/home/emmanuel/desktop/projects/cloned_websites/sure%20help/preview.colorlib.com/theme/charity2/css/bootstrap.min.css	(from https://preview.colorlib.com/theme/charity2/)
10:34:13	3958/3958	---MCZ	200	added ('OK')	text/css	etag:W/%22f76-5c1f9af55589a-gzip%22	https://preview.colorlib.com/theme/charity2/css/owl.carousel.css	/home/emmanuel/desktop/projects/cloned_websites/sure%20help/preview.colorlib.com/theme/charity2/css/owl.carousel.css	(from https://preview.colorlib.com/theme/charity2/)
10:34:14	1303/1303	---MCZ	200	added ('OK')	text/css	etag:W/%22517-5c1f9af55589a-gzip%22	https://preview.colorlib.com/theme/charity2/css/owl.theme.default.css	/home/emmanuel/desktop/projects/cloned_websites/sure%20help/preview.colorlib.com/theme/charity2/css/owl.theme.default.css	(from https://preview.colorlib.com/theme/charity2/)
10:34:14	1688/1688	---MCZ	200	added ('OK')	text/css	etag:W/%22698-5c1f9af55589a-gzip%22	https://preview.colorlib.com/theme/charity2/css/font-awesome.min.css	/home/emmanuel/desktop/projects/cloned_websites/sure%20help/preview.colorlib.com/theme/charity2/css/font-awesome.min.css	(from https://preview.colorlib.com/theme/charity2/)
10:34:16	28184/28184	---MCZ	200	added ('OK')	text/css	etag:W/%226e18-5c1f9af55589a-gzip%22	https://preview.colorlib.com/theme/charity2/css/style.css	/home/emmanuel/desktop/projects/cloned_websites/sure%20help/preview.colorlib.com/theme/charity2/css/style.css	(from https://preview.colorlib.com/theme/charity2/)
10:34:16	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Sun,%2016%20Apr%202023%2009:34:16%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z=	/home/emmanuel/desktop/projects/cloned_websites/sure%20help/preview.colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://preview.colorlib.com/theme/charity2/)
10:34:18	22115/22115	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Apr%202018%2011:58:54%20GMT	https://preview.colorlib.com/theme/charity2/index.html	/home/emmanuel/desktop/projects/cloned_websites/sure%20help/preview.colorlib.com/theme/charity2/index-2.html	(from https://preview.colorlib.com/theme/charity2/)
